"id","created","updated","title","description","priority","investigation_type","event_datetime","completion_due_date","steps_completed","function_location","equipment_description","object_type","catalog_profile","catalog_profiles","object_part_description","damage_code","supervisor_id","event_type","status","total_effective_duration","total_tonnes_lost","date_closed","total_event_duration","cause_code","is_archived","archive_user_id","archive_datetime"
20,2019-01-14 10:56:00.000 +0800,2019-01-14 16:27:56.000 +0800,CB-IOPF-RCA-560 - CR304 Head Failure; Historical BMS Id: RCA-0000129,"8/12/18 11/12/18 CR304 removed from service for breakdown maintenance. 31/12/18 at 03:54 am - During the daily inspection of CR304 our Crusher Maintenance Partners identified that the head-nut had become loose; resulting in mantle loosening on the head assembly.   Babelfish reports œCR304 wound out to 150mm. Using as a chute ¦ .   Crusher was removed from service on 6/01/19 for repair; returned to service without restriction on 9/01/19.   Note:- Recent failure occurred after ~200hrs of service.",Medium,2,2018-12-31 03:54:00.000 +0800,2019-01-14 16:27:56.000 +0800,5,CLB-PP-CRSH-MOD304-CR304 -ASBLY,Assembly Head CR304,Assembly,PMGENERAL,'{}',,,14078,1,3,0.0,0.0,2019-01-14 16:27:56.000 +0800,,,,,
40,2018-12-26 10:51:00.000 +0800,2019-07-26 14:05:15.000 +0800,EX101 RH Engine failure.; Historical BMS Id: RCA-0000122,"The machine started producing white smoke and using a lot of coolant W/O 100955782. The machine was parked and investigations started. When they removed the RH turbo it was full of coolant and proceeded to check the faulty cylinder head using a heat gun. Discovered Pos 3 cylinder head temperature higher than the rest. Removed the cylinder head and found damaged piston crown, cracked cylinder liner",Medium,2,2018-12-23 18:08:00.000 +0800,2019-07-26 14:05:15.000 +0800,5,CLB-MP-EXCV-EX101 -RHENGN,Engine Assembly Cummins QSK45,Engine,MP-ENGIN,'{}',,,14108,1,3,260.5,0.0,2019-07-26 14:05:15.000 +0800,,,,,
41,2019-03-01 15:58:00.000 +0800,2019-07-26 11:05:15.000 +0800,EX051 L/H Engine failure.; Historical BMS Id: RCA-0000147,"The L/H engine spinner cover clamp was left loose after service. The machine was sent to work. During operation the engine oil pressure escaped through the cover and oil hit the turbocharge setting it on fire. The fire damage caused extensive damage to the engine, harness. hoses and the radiator.",Medium,2,2019-02-26 15:24:00.000 +0800,2019-07-26 11:05:15.000 +0800,5,SOL-MP-EXCV-EX051 -LHENGN,Engine Assembly Cummins QSK19,Engine,MP-ENGIN,'{}',,,14108,1,3,166.5,0.0,2019-07-26 11:05:15.000 +0800,,,,,
42,2018-12-25 08:07:00.000 +0800,2019-03-14 15:25:50.000 +0800,DZ011 - LH ripper lift cylinder failed the eye; Historical BMS Id: RCA-0000121,Production called maintenance that the dozer was not lifting the ripper upon which it was discovered that the LH ripper lift cylinder eye had broke off. Machine brought to workshop for cylinder replacement.,Medium,2,2018-12-23 10:47:00.000 +0800,2019-03-14 15:25:50.000 +0800,5,CLB-MP-DOZR-DZ011 -HYDSYS-HDCYL-RLCYL,Cylinder Ripper Lift LH,Hydraulic Cylinder,MP-HDCYL,'{}',,,14108,1,3,9.8,0.0,2019-03-14 15:25:50.000 +0800,,,,,
43,2019-05-02 14:06:00.000 +0800,2019-10-24 15:05:17.000 +0800,Main pump 7/8 internal failure; Historical BMS Id: RCA-0000175,"On 22/04/2019,   EX107 had a contamination fault coming up on the screen . The fitter checked the contamination switch and found some metal flakes and debris stuck on the switch.   The first contamination signaling a pump failure. ",Medium,2,2019-04-27 15:36:00.000 +0800,2019-10-24 15:05:17.000 +0800,5,CLB-MP-EXCV-EX107 -HYDSYS-HYDPP-MP7P8,Main Hyd Pump Pos7 & Pos8,Hydraulic Pump,MP-HDPMP,'{}',,,14108,1,3,31.0,0.0,2019-10-24 15:05:17.000 +0800,,,,,
10471,2022-08-10 08:00:44.930 +0800,2022-08-10 08:40:42.201 +0800,TLO Schenck Outbound Track Scale Failure ,"Alteration in known Wagon Zero Value, causing 4.8 tonne discrepancy ",Medium,2,2022-06-10 17:00:00.000 +0800,2022-08-10 08:00:00.000 +0800,6,ELW-SY-TRLO-TLO900-TLO901-ASBLY,Train Loadout TLO901,Weight Element,PMGENERAL,"'{""PM-INST"",""PM-BWG"",""PMGENERAL"",""PM-WGHT""}'",Weightometer,Calibration Fault,2686,1,1,0.9,6134.7,2022-08-10 08:00:00.000 +0800,0.9,Calibration Error,,,
18,2020-12-28 07:02:00.000 +0800,2020-12-28 09:06:57.000 +0800,BN151 GRIZZLY BEAM # 2 REFERENCED FROM REAR ON BIN FAILURE; Historical BMS Id: RCA-0000392,"During NS dated 27/12/2020 Grizzly Beam 2 referenced from BN151 backwall failed in the following manner. Historically two standard grizzly beams were modified during April 2019 to increase the beam cross sectional area in the attempt to increase the beam integrity. Namely grizzly beams 4 & 5. There was an I-Beam like section added to the lower portion of the standard beam and this procedure was carried out during our weekly works. Upon close visual inspection it appears the 10mm fillet fusing the added I-Beam section to the standard beam has not fully penetrated, hence the correct weld procedure is in question. This additive I-Beam section has fractured from the standard grizzly beam and locked into the primary SZ151 and tripped. The N/S maintenance team have trammed out the sizer and crane removed the segment. This process resulted in a 196 - minutes downtime in production. ",Medium,2,2020-12-27 22:06:00.000 +0800,2020-12-28 09:06:57.000 +0800,5,SOL-FT-RMIN-CRUSH1-BN151 -ASBLY,Structure Screen Static Grizzly SN151,Screen,PM-STRC,'{}',,,14094,1,3,0.0,0.0,2020-12-28 09:06:57.000 +0800,,,,,
19,2018-12-27 06:48:00.000 +0800,2018-12-29 15:41:28.000 +0800,SH106 Return Roller Frame Failure (CB-OPF-RCA-556); Historical BMS Id: RCA-0000123,A return roller frame failed causing other frames to become overloaded leading to a cascade failure of a further 6-off return roller frames. The sharp edges of the damaged frames contacted the CV106 belt top cover; causing localised top cover damage along the belt length (secondary damage).,Medium,2,2018-12-21 19:21:00.000 +0800,2018-12-29 15:41:28.000 +0800,5,CLB-PP-SSCR-SHT001-SH106 -ASBLY,Idlers and Frames SH106,Roller Frame,PM-IDLR,'{}',,,14078,1,3,17.45,101000.0,2018-12-29 15:41:28.000 +0800,,,,,
10473,2022-08-16 10:37:52.334 +0800,2022-08-16 15:22:33.887 +0800,"15SC202 Worn BD Panels",In the preceding week O/S had been identified on GS2 indicating worn BD panels on 15SC202. On the 11th the module was taken offline to replace panels.,Medium,1,2022-08-11 10:55:00.000 +0800,2022-09-13 00:00:00.000 +0800,3,CCK-P2-WSCR-SCRUB2-SC202 -ASBLY,Screen Double Deck SLD4385FXS2-15SC202,Screen,PM-SCRN,'{}',Aperture Panels,Worn,1226,1,1,3.2,17704.0,,6.3,,,,
10485,2022-08-22 08:46:07.529 +0800,2022-08-22 08:52:21.046 +0800,GTG2 Junction Box Jumper Bar Failure,GTG2 Shutdown on multiple lube oil and hydraulic skid start alarms leading to load shedding of KV OPF,High,3,2017-01-27 08:55:00.000 +0800,2022-08-29 00:00:00.000 +0800,3,SOL-PS-GTG2-ENGINE-COMMON-EICON,Junction Box Turbine Gauge Panel,Junction Box,PMGENERAL,'{}',Whole Unit,"Broken (Cracked,Leaking,Holed)",4900,1,3,0.0,0.0,2018-01-27 08:00:00.000 +0800,0.0,,,,
10476,2022-08-19 10:58:48.066 +0800,2022-08-19 11:22:19.215 +0800,Solomon PS MPU21 Bearing 3 Vibration Trip,Solomon PS MPU21 tripped due to Engine Bearing 3 Y-Axis Radial high vibration. This resulted in FT Crushing Hub Area 1 being shut off due to load shed,High,2,2017-11-30 13:23:00.000 +0800,2022-08-26 00:00:00.000 +0800,6,SOL-PS-MP21-ENGINE-COMMON-EICON,Proximitor Engine Bearing 3 Y axis,Protection Device,PM-INST,"'{""PM-ELPR"",""PM-STRC"",""PM-INST"",""PMGENERAL"",""PM-ELCO"",""PM-SCPR""}'",Circuit,Fault/Short Circuit,4100,1,3,0.0,0.0,2017-12-03 08:00:00.000 +0800,0.0,Electrical Short or Failure,,,
1015,2022-02-20 08:16:30.000 +0800,2022-05-25 04:56:52.000 +0800,CV705-PY08 Pulley Cracked Shell; Historical Sharepoint Solomon Id 542,,Medium,1,2022-02-19 16:00:00.000 +0800,,5,SOL-KV-CNVY-CONVEY-CV705 -ASBLY,Pulley Bend Low Tension CV705-PY08,Pulley,PM-PLYS,'{}',,,13381,1,3,16.6,129603.0,2022-08-01 08:00:00.000 +0800,,,,,
10490,2022-08-22 13:50:34.838 +0800,2022-08-22 13:53:24.800 +0800,SKRC801 Hose Reeler Bolt Failure ,Hose reeler under tension - caused by new bolts been replaced not allowing the hose to spool on reel correctly,Low,1,2022-08-04 22:00:55.000 +0800,2022-09-19 00:00:00.000 +0800,2,ELW-SY-SKRC-SKR801-HR801 -ASBLY,Reeler Hose HR801,Hose Reel,PMGENERAL,'{}',Whole Unit,Loose (Detached),4314,1,1,3.8,13415.4,,3.8,,,,
1022,2022-03-26 02:23:04.000 +0800,2022-05-24 03:40:47.000 +0800,RC901 Inverted Vee Roller Collapsed ; Historical Sharepoint Solomon Id 549,,Medium,2,2022-03-24 16:00:00.000 +0800,,5,SOL-SY-RCLM-RCL901-CV001 -ASBLY,Idlers Conveyor RCL901-CV001,Roller,PM-IDLR,'{}',,,1216,1,3,4.3,55645.0,2022-08-01 08:00:00.000 +0800,,,,,
1023,2022-03-30 03:13:56.000 +0800,2022-05-05 22:44:10.000 +0800,Thickener TH501 planetary Gear Box failure; Historical Sharepoint Solomon Id 550,,Medium,1,2022-03-27 16:00:00.000 +0800,,5,SOL-KV-DSND-THICK1-TH501 -DRIV1,Gearbox Agitator Rake Drive TH501,Gearbox,PM-GEAR,'{}',,,4331,1,3,38.4,299563.0,2022-08-01 08:00:00.000 +0800,,,,,
30,2018-10-12 09:48:00.000 +0800,2018-10-12 09:55:57.000 +0800,"10FE01B Apron Feeder bogged; Historical BMS Id: RCA-0000076",Apron feeder bogged and wouldn 't pull away.,Medium,2,2018-08-21 09:49:00.000 +0800,2018-10-12 09:55:57.000 +0800,5,CCK-P1-RMIN-CONV10-FE101B-CHUT1,Chute & Liners Feeder 10FE01B,Chute,PM-CHTS,'{}',,,6962,1,3,5.0,0.0,2018-10-12 09:55:57.000 +0800,,,,,
31,2018-07-17 14:27:00.000 +0800,2018-07-17 14:43:03.000 +0800,Failure of RHS Locking Element on 12CV203A pulley No 7.; Historical BMS Id: RCA-0000029,"On the 13/05/2018 at 1:05am an inspection on Conveyor CV203A identified that the RHS locking element had been pushed out from the end disk and the pulley required change out, see Fig 1. The failed pulley was an œUpgraded Pulley  manufactured by Nepean (Serial number 13365-32, type NQP-2105, drawing at back of this report) and was installed on 30/11/2014. It was in service for 3.5 years prior to this failure. In the last 3 months of service the conveyor had run at ~2700tph, with a maximum of 2891 tpa. The conveyor was originally designed for 2500 tpa capacity. OPF2 was down for 21hrs to install the spare pulley representing $567k in lost tonnes (21hrs at 2700tph and $10/t).",Medium,2,2018-05-13 01:05:00.000 +0800,2018-07-17 14:43:03.000 +0800,5,CCK-P2-WSCR-CONV12-CV203A-ASBLY,Pulley Snub 12CV203A_PY04,Pulley,PM-PLYS,'{}',,,6962,1,3,21.0,0.0,2018-07-17 14:43:03.000 +0800,,,,,
32,2018-07-12 09:00:00.000 +0800,2018-10-12 09:47:15.000 +0800,RCA- Apron Feeder Chain link failure (not master link) 10FE01A; Historical BMS Id: RCA-0000021,A chain link pin failed causing the feeder to stop.,Medium,2,2018-06-15 04:15:00.000 +0800,2018-10-12 09:47:15.000 +0800,5,CCK-P1-RMIN-CONV10-FE101A-ASBLY,Pulleys Head Apron Feeder A 10FE01A,Pulley,PM-PLYS,'{}',,,6962,1,3,14.0,28000.0,2018-10-12 09:47:15.000 +0800,,,,,
10474,2022-08-18 14:59:26.396 +0800,2022-08-18 16:14:22.027 +0800,"10CR01 crusher bogging event",OPF1 primary crusher bogged from 6th to 9th of August 2022. Investigate root cause including faulty level sensor and all other contributing factors. ,High,2,2022-08-06 12:22:00.000 +0800,2022-09-15 00:00:00.000 +0800,4,CCK-P1-RMIN-CRUSH1-CR101 -EICON,Electrical Field Devices 10CR01 Crusher,Level Transmitter,PM-ELCO,"'{""PM-CRNE"",""PM-ELPR"",""PM-CHTS"",""PM-INST"",""PMGENERAL"",""PM-WTRS"",""PM-TKS"",""PM-ELCO"",""PM-SCPR""}'",Sensor,Other Reason [Add Text],249,1,1,0.0,0.0,,0.0,,,,
33,2018-07-17 15:32:00.000 +0800,2018-07-17 15:45:56.000 +0800,Failure of RHS Locking Element on Reclaimer Tail Pulley CV602; Historical BMS Id: RCA-0000030,"On the 12/5/2018 at 2am the Reclaimer boom conveyor tail pulley RHS locking element was found to be œpushed out  from the end disk, and the pulley was changed out with the spare. The failed pulley had been manufactured by Tefco (serial No 4479) and overhauled by Orontide in June 2013. The pulley was installed on 21/2/2014 and was in service for 4.25 years prior to this failure. It took 66hrs to rectify the consequential damage and install the spare pulley. During this period trains were loaded direct from the plant, incurring moderate rate loss. During strip down, all the RHS locking element bolts were found to have failed by fatigue cracking (through the threaded section at thrust ring interface), see Fig 2; and the interface between the tapers was corroded, see Fig 3. The LHS locking element was found to be corroded, but none of the bolts had failed, see Fig 4. ",Medium,2,2018-05-12 02:00:00.000 +0800,2018-07-17 15:45:56.000 +0800,5,CCK-SY-RCLM-RCL031-CV602 -ASBLY,Pulley 2 Tail BW Feed End,Pulley,PM-PLYS,'{}',,,6962,1,3,66.0,0.0,2018-07-17 15:45:56.000 +0800,,,,,
1122,2022-04-11 09:32:00.000 +0800,2022-04-11 09:32:00.000 +0800,CV953 Belt Rip; Historical Sharepoint Port Id 30,NULL,Medium,2,2022-03-17 00:00:00.000 +0800,,5,APT-OL-CNVY-CONVEY-CV953 -ASBLY,CV953 Conveyor Belt,Conveyor Belting,PM-CVBT,'{}',,,2279,1,1,35.6,0.0,2022-08-01 08:00:00.000 +0800,,,,,
1123,2022-04-11 09:36:00.000 +0800,2022-05-10 16:41:00.000 +0800,CV903 VSD Fan Failure; Historical Sharepoint Port Id 31,"Root Cause: CV903 VSD fan capacitor failed Secondary Cause: No strategy in place to change out the fan, only the VSD as a kit on 7Y PM02 which has been skipped What We Found: Capacitors have not been a common cause in other VSD fan failures across site This increased the time taken to diagnose this issue as the SCHRACK relay was changed out first The replacement capacitor required was not listed in the BOM The material number we had for the replacement capacitor has been deleted and replaced with a new material number, but this number was not listed under the equipment in the BOM. This was only discovered after enquiring with the cataloguing team From review other VSD BOMs it was found that capacitors were generally not listed, and fans were only listed for some equipment There is no individual replacement strategy in place for the VSD fan, only the VSD module as whole which is on a 7Y PM02 C/O. This was called in 2018 but W/O was cancelled with no comments as to why. It was called again in 2020 but skipped with the next C/O now scheduled to call again in 2027 There is currently work being conducted to review VSD C/O strategies, identify gaps and ensure new strategies are implemented where necessary but had not got to CV903 yet Recommendations: Continue to stock one complete spare VSD module from which spare parts can be taken in a breakdown Add the VSD fan and capacitor as individual items to the BOM with a minimum stock level of zero, to allow for easy reordering of these parts if they have to be taken from the spare VSD module again in the future Review BOMs for all VSDs to ensure all required critical spare parts are listed in the BOM  Replace the capacitor that was taken from the spare VSD module Replace the CV903 VSD in the next shut Implement new VSD & fan C/O strategy to CV903 and other conveyors that have not had the new strategy implemented Investigate a way to ensure necessary PM02 change outs do not get skipped/cancelled when required",Medium,2,2022-03-21 00:00:00.000 +0800,,5,APT-IL-CNVY-CONVEY-CV903 -EICON,VSD VS4685 Conveyor Drive #1,Variable Speed Drive,PM-VSD,'{}',,,2279,1,1,3.5,0.0,2022-08-01 08:00:00.000 +0800,,,,,
656,2018-04-13 05:26:39.000 +0800,2022-08-16 11:26:57.704 +0800,CV902 Splice Failure,CV902 Splice Failure,Medium,2,2017-12-22 16:00:00.000 +0800,2022-08-17 00:00:00.000 +0800,6,SOL-SY-CNVY-CONVEY-CV902 -ASBLY,Belt Conveyor CV902,Conveyor Belting,PM-CVBT,'{}',Belt,Broken,13575,1,3,0.0,0.0,2022-08-01 08:00:00.000 +0800,,Contamination,,,
10486,2022-08-22 09:25:45.104 +0800,2022-08-22 10:27:02.694 +0800,GTG1 Gas Meter Valve Driver (GMVP3) Fault,Gas Metering Valve FCV63568 went into fault causing GTG1 to trip resulting in FT and KV OPFs being load shed,High,2,2018-02-11 11:31:00.000 +0800,2022-09-19 00:00:00.000 +0800,6,SOL-PS-GTG1-GFUELS-GASSYS-PPVLV,Valve Metering Gas,Control Valve,PM-VLV,'{}',Positioner,Broken,4900,1,3,0.0,0.0,2018-02-19 08:00:00.000 +0800,0.0,Electrical System Fault,,,
10477,2022-08-19 11:49:20.369 +0800,2022-08-19 11:52:28.786 +0800,MPU22 Gas Heater Temperature,MPU22 Gas fuel heater shutdown resulting in an alarm,Medium,3,2017-12-03 03:54:00.000 +0800,2022-08-26 00:00:00.000 +0800,3,SOL-PS-MP22-DFUELS-GGAUMR-EICON,Switch Limit Switch Open Close,Position Switch,PM-INST,'{}',Instrument,Broken,4100,1,3,0.0,0.0,2018-01-28 08:00:00.000 +0800,0.0,,,,
659,2018-04-13 05:26:40.000 +0800,2018-07-14 00:45:12.000 +0800,SS703 Downtime; Historical Sharepoint Solomon Id 150,,Medium,2,2017-12-10 16:00:00.000 +0800,,5,SOL-KV-CNVY-SAMPLE-SS703 -ASBLY,Structure Conveyor SS703,Conveyor,PM-STRC,'{}',,,14090,1,3,0.0,0.0,2022-08-01 08:00:00.000 +0800,,,,,
1024,2022-03-31 02:57:29.000 +0800,2022-03-31 02:57:29.000 +0800,CV126 belt damage; Historical Sharepoint Solomon Id 551,,Medium,3,2022-03-28 16:00:00.000 +0800,,5,SOL-FT-RMIN-CONVEY-CV126 -ASBLY,Belt Conveyor CV126,Conveyor Belting,PM-CVBT,'{}',,,14150,1,3,3.9,17414.0,2022-08-01 08:00:00.000 +0800,,,,,
1025,2022-03-31 08:49:21.000 +0800,2022-05-02 09:09:18.000 +0800,CV131 Drive Gearbox Oil Cooler Failure; Historical Sharepoint Solomon Id 552,,Medium,1,2022-03-30 16:00:00.000 +0800,,5,SOL-QV-RMIN-CRUSH1-CV131 -DRIV1,Oil Cooler CV131,Heat Exchanger,PMGENERAL,'{}',,,13381,1,3,2.7,21200.0,2022-08-01 08:00:00.000 +0800,,,,,
1026,2022-04-01 04:47:17.000 +0800,2022-04-28 02:56:40.000 +0800,SZ151 Drive 2 Fluid Coupling Failure; Historical Sharepoint Solomon Id 553,,Medium,1,2022-03-28 16:00:00.000 +0800,,5,SOL-FT-RMIN-CRUSH1-SZ151 -DRIV2,Coupling Fluid Drive 2 SZ151,Coupling,PM-COUP,'{}',,,14150,1,3,41.0,179079.0,2022-08-01 08:00:00.000 +0800,,,,,
1027,2022-04-01 04:52:27.000 +0800,2022-05-24 03:39:53.000 +0800,RC901-CV01 Belt Damage; Historical Sharepoint Solomon Id 554,,Medium,2,2022-03-30 16:00:00.000 +0800,,5,SOL-SY-RCLM-RCL901-CV001 -ASBLY,Belt Conveyor Boom RC901-CV01,Conveyor Belting,PM-CVBT,'{}',,,1216,1,3,27.0,242000.0,2022-08-01 08:00:00.000 +0800,,,,,
1028,2022-04-02 08:35:15.000 +0800,2022-04-29 01:27:05.000 +0800,CH151 Dislodged Liner; Historical Sharepoint Solomon Id 555,,Medium,1,2022-03-31 16:00:00.000 +0800,,5,SOL-FT-RMIN-CRUSH1-AF151 -CH151,Chute Discharge AF151,Chute,PM-CHTS,'{}',,,14150,1,3,2.3,8028.0,2022-08-01 08:00:00.000 +0800,,,,,
