id,created,updated,investigation_id,five_why_id,flash_report_id,root_cause_detail_id,title,description,priority,date_due,supervisor_id,status,date_closed,is_historical,is_archived,archive_user_id,archive_datetime
15493,2021-11-15 01:52:57+00,2022-09-21 03:10:01.994+00,1389,\N,\N,\N,RCA750 - Design end stops for the product splitter to be used during operation; Historical Sharepoint CB Id: 714,Design end stops for the product splitter to be used during operation,Medium,2022-12-19 00:00:00+00,11150,1,\N,1,f,\N,\N
15494,2021-11-15 01:54:20+00,2022-09-21 03:08:32.001+00,1389,\N,\N,\N,RCA750 - Review linear actuator design; Historical Sharepoint CB Id: 715,Review linear actuator design,Medium,2022-07-29 08:00:00+00,11150,3,2022-09-20 16:00:00+00,1,f,\N,\N
15491,2021-11-08 18:23:20+00,2022-09-21 01:32:23.44+00,1378,\N,\N,\N,Review conveyor transition lengths as apart of GTU upgrade project; Historical Sharepoint CB Id: 701,Review conveyor transition lengths as apart of GTU upgrade project,High,2022-12-19 00:00:00+00,11150,1,\N,1,f,\N,\N
15503,2022-04-04 20:24:54+00,2022-09-21 01:30:33.155+00,1389,\N,\N,\N,Check alignment of actuator installation is within OEM tolerance; Historical Sharepoint CB Id: 772,Check alignment of actuator installation is within OEM tolerance,Medium,2022-12-19 00:00:00+00,11150,1,\N,1,f,\N,\N
15487,2021-10-08 22:39:17+00,2022-09-21 01:29:54.262+00,1323,\N,\N,\N,Review BOM for all shuttle brakes to ensure correct part is catalogued; Historical Sharepoint CB Id: 667,Review BOM for all shuttle brakes to ensure correct part is catalogued,Medium,2022-12-19 00:00:00+00,540,1,\N,1,f,\N,\N
15502,2022-04-04 20:23:44+00,2022-09-14 21:52:28.234+00,1389,\N,\N,\N,Complete load study of splitter chute at actuator connection point; Historical Sharepoint CB Id: 771,Complete load study of splitter chute at actuator connection point,Medium,2022-10-30 00:00:00+00,540,1,\N,1,f,\N,\N
15481,2021-06-14 23:55:19+00,2022-09-14 21:32:34.037+00,1296,\N,\N,\N,Feed Spout liner package upgrade; Historical Sharepoint CB Id: 586,Feed Spout liner package upgrade,Medium,2022-11-30 00:00:00+00,540,1,\N,1,f,\N,\N
15501,2022-02-11 23:06:05+00,2022-09-14 21:31:14.16+00,1394,\N,\N,\N,Confirm with Metso (OEM) the correct clearance between pin / clevis and required nut torque; Historical Sharepoint CB Id: 759,Confirm with Metso (OEM) the correct clearance between pin / clevis and required nut torque,Medium,2022-10-30 00:00:00+00,540,1,\N,1,f,\N,\N
15505,2022-04-07 17:53:47+00,2022-09-14 21:30:25.206+00,1394,\N,\N,\N,Update PRT and Drawings based on feedback from Metso; Historical Sharepoint CB Id: 776,Update PRT and Drawings based on feedback from Metso,Low,2022-09-30 00:00:00+00,540,1,\N,1,f,\N,\N
10917,2018-12-26 16:00:00+00,2022-09-13 07:04:05.48+00,476,\N,\N,\N,"Installation of Intermediate Shaft, couplings and exciter beam bolts; Historical BMS Id: AT-9999999_745",.,Medium,2018-12-26 16:00:00+00,6957,3,2018-12-26 16:00:00+00,1,f,\N,\N
15675,2022-08-31 22:08:53+00,2022-08-31 22:08:53+00,1273,\N,\N,\N,Verify worn rail replacement is completed; Historical Sharepoint CC Id: 139,\N,Medium,2022-10-31 08:00:00+00,1577,3,2022-08-31 22:08:53+00,1,f,\N,\N
15673,2022-08-31 21:41:54+00,2022-08-31 21:41:54+00,1273,\N,\N,\N,Confirm correct pins in stock and ATI for stock levels; Historical Sharepoint CC Id: 139,\N,Medium,2022-08-30 08:00:00+00,1577,3,2022-08-31 21:41:54+00,1,f,\N,\N
15667,2022-05-31 08:00:00+00,2022-08-31 21:41:25+00,1276,\N,\N,\N,Ceradox impact panels 26W replacement planning; Historical Sharepoint CC Id: 142,\N,Medium,2022-08-30 08:00:00+00,1226,3,2022-05-31 08:00:00+00,1,f,\N,\N
15668,2022-05-31 08:00:00+00,2022-08-31 21:25:32+00,1276,\N,\N,\N,Plan immediate replacement of row 2 Ceradox panels; Historical Sharepoint CC Id: 142,\N,Medium,2022-08-30 08:00:00+00,1577,3,2022-05-31 08:00:00+00,1,f,\N,\N
15534,2022-08-10 00:02:37.762332+00,2022-08-10 00:07:54.6535+00,10471,\N,6,\N,Conduct RCA ,Conduct formal RCA ,High,2022-08-10 00:00:00+00,2686,3,2022-08-10 00:00:00+00,0,\N,\N,\N
15705,2022-07-11 17:23:57+00,2022-08-30 20:42:34+00,10544,\N,\N,\N,Supersede the existing item and upgrade with ceremic liners.; Historical Sharepoint Solomon Id 2547,\N,Low,2022-09-15 08:00:00+00,9502,3,2022-08-01 00:00:00+00,1,f,\N,\N
15745,2022-08-27 18:31:03+00,2022-08-30 19:48:21+00,10545,\N,\N,\N,Standardise all crusher cavity sensors across site (FT & KV); Historical Sharepoint Solomon Id 2587,\N,High,2022-11-29 08:00:00+00,8700,1,\N,1,f,\N,\N
15689,2022-06-19 21:21:09+00,2022-08-30 18:32:50+00,1017,\N,\N,\N,Add belt length to reel name plate; Historical Sharepoint Solomon Id 2531,\N,Medium,2022-08-30 08:00:00+00,9517,3,2022-08-01 00:00:00+00,1,f,\N,\N
15702,2022-06-29 00:28:06+00,2022-08-30 18:27:41+00,10541,\N,\N,\N,Incorporate PD testing in 52W maintenance; Historical Sharepoint Solomon Id 2544,\N,Medium,2022-09-29 08:00:00+00,9837,1,\N,1,f,\N,\N
15701,2022-06-29 00:27:04+00,2022-08-30 18:27:31+00,10541,\N,\N,\N,Add Visual inspection of motor sealing to 52W plan; Historical Sharepoint Solomon Id 2543,\N,Medium,2022-09-29 08:00:00+00,9837,1,\N,1,f,\N,\N
15700,2022-06-29 00:23:51+00,2022-08-30 18:27:22+00,10541,\N,\N,\N,RCA Shared learning with Electrical Team; Historical Sharepoint Solomon Id 2542,\N,Medium,2022-09-29 08:00:00+00,9837,1,\N,1,f,\N,\N
15679,2022-08-27 08:00:00+00,2022-08-30 01:11:14+00,10540,\N,\N,\N,Confirm new tails cut over date and shutdown work orders; Historical Sharepoint CC Id: 157,\N,Medium,2022-09-13 08:00:00+00,685,1,2022-08-27 08:00:00+00,1,f,\N,\N
15660,2022-06-23 08:00:00+00,2022-08-30 01:10:46+00,1280,\N,\N,\N,Set up a time-based replacement strategy; Historical Sharepoint CC Id: 146,\N,Medium,2022-10-27 08:00:00+00,950,1,2022-06-23 08:00:00+00,1,f,\N,\N
15718,2022-07-29 14:36:32+00,2022-08-29 15:54:39+00,10550,\N,\N,\N,Scope to upgrade brake resistor; Historical Sharepoint Solomon Id 2560,\N,High,2022-09-29 08:00:00+00,8700,1,\N,1,f,\N,\N
15475,2021-05-10 00:16:16+00,2022-08-29 03:07:19.722+00,1433,\N,\N,\N,Adjust pump gland water pressures to be in alignment with the IOM; Historical Sharepoint CB Id: 553,Adjust pump gland water pressures to be in alignment with the IOM,High,2022-08-26 08:00:00+00,13124,1,2022-08-25 00:00:00+00,1,f,\N,\N
15678,2022-08-23 08:00:00+00,2022-08-28 16:14:03+00,10540,\N,\N,\N,Implement Strategy to Manage Subsequent Failure; Historical Sharepoint CC Id: 157,\N,Medium,2022-08-30 08:00:00+00,685,1,2022-08-23 08:00:00+00,1,f,\N,\N
15662,2022-06-23 08:00:00+00,2022-08-28 15:34:03+00,1280,\N,\N,\N,Liase with the vendor to improve the service life of the GEHO pumps common discharge line reducer spool by upgrading the lining materials.; Historical Sharepoint CC Id: 146,\N,Medium,2022-11-24 08:00:00+00,950,1,2022-06-23 08:00:00+00,1,f,\N,\N
15744,2022-08-27 18:29:20+00,2022-08-27 18:29:20+00,10545,\N,\N,\N,Remove the Cavity Sensor Profibus logic from PLC logic; Historical Sharepoint Solomon Id 2586,\N,Medium,2022-08-14 08:00:00+00,13116,3,2022-08-01 00:00:00+00,1,f,\N,\N
15743,2022-08-27 18:28:10+00,2022-08-27 18:28:10+00,10545,\N,\N,\N,Control card to order; Historical Sharepoint Solomon Id 2585,\N,High,2022-07-02 08:00:00+00,1155,3,2022-08-01 00:00:00+00,1,f,\N,\N
15742,2022-08-27 18:25:43+00,2022-08-27 18:25:43+00,10545,\N,\N,\N,"Replaced Controller Unit, Cavity Level Sensor and mounting; Historical Sharepoint Solomon Id 2584",\N,High,2022-07-02 08:00:00+00,1155,3,2022-08-01 00:00:00+00,1,f,\N,\N
15876,2022-09-15 09:35:42.532+00,2022-10-04 01:59:02.062296+00,10583,\N,67,\N,Repair Damaged cables,Repair or replace damaged cables during shutdown.,Medium,2023-03-20 00:00:00+00,9093,3,2022-10-04 00:00:00+00,0,f,\N,\N
15741,2022-08-27 18:14:40+00,2022-08-27 18:15:22+00,10557,\N,\N,\N,Establish WEG VSD Communitcation; Historical Sharepoint Solomon Id 2583,\N,High,2022-09-12 08:00:00+00,8700,1,\N,1,f,\N,\N
15740,2022-08-27 18:13:55+00,2022-08-27 18:13:55+00,10557,\N,\N,\N,Review VSD BOM; Historical Sharepoint Solomon Id 2582,\N,Medium,2022-09-12 08:00:00+00,217,3,2022-08-01 00:00:00+00,1,f,\N,\N
15893,2022-10-01 00:01:01.442408+00,2022-10-04 07:01:10.514044+00,10588,\N,71,\N,"DT5213 Pos 5 Wheel Stud Failure, RCA Investigation",Commence group RCA investigation into DT5213 position 5 wheel stud failure,Medium,2022-11-30 00:00:00+00,9841,1,\N,0,f,\N,\N
15739,2022-08-27 18:13:08+00,2022-08-27 18:13:08+00,10557,\N,\N,\N,Organise WEG VSD for Refurbishment; Historical Sharepoint Solomon Id 2581,\N,High,2022-08-15 08:00:00+00,1155,3,2022-08-01 00:00:00+00,1,f,\N,\N
15738,2022-08-27 18:12:05+00,2022-08-27 18:12:05+00,10557,\N,\N,\N,Replace WEG VSD Invertor; Historical Sharepoint Solomon Id 2580,\N,High,2022-08-21 08:00:00+00,13203,3,2022-08-01 00:00:00+00,1,f,\N,\N
15733,2022-08-25 22:39:33+00,2022-08-27 18:10:08+00,10552,\N,\N,\N,Recalibrate CV151 Belt Weightometer; Historical Sharepoint Solomon Id 2575,\N,High,2022-08-18 08:00:00+00,1155,3,2022-08-01 00:00:00+00,1,f,\N,\N
15737,2022-08-27 18:04:28+00,2022-08-27 18:08:41+00,10552,\N,\N,\N,Raise change request to replace the existing weightometer; Historical Sharepoint Solomon Id 2579,\N,High,2022-08-18 08:00:00+00,217,3,2022-08-01 00:00:00+00,1,f,\N,\N
15736,2022-08-27 18:03:09+00,2022-08-27 18:03:09+00,10552,\N,\N,\N,Addition to SCADA to switch between CV151 Weightometer and Power Base Mode Control; Historical Sharepoint Solomon Id 2578,\N,High,2022-08-18 08:00:00+00,13116,3,2022-08-01 00:00:00+00,1,f,\N,\N
15735,2022-08-27 17:56:30+00,2022-08-27 17:56:30+00,10552,\N,\N,\N,Develop power mode logic; Historical Sharepoint Solomon Id 2577,\N,High,2022-08-18 08:00:00+00,13116,3,2022-08-01 00:00:00+00,1,f,\N,\N
15734,2022-08-27 17:49:12+00,2022-08-27 17:49:12+00,10552,\N,\N,\N,Repaired CV151 Belt weightometer; Historical Sharepoint Solomon Id 2576,\N,High,2022-06-19 08:00:00+00,1155,3,2022-08-01 00:00:00+00,1,f,\N,\N
15490,2021-11-08 18:20:27+00,2022-08-26 07:19:53.71+00,1383,\N,\N,\N,Collaborate with Schenck to review the screen design and make upgrades to increase life; Historical Sharepoint CB Id: 698,Collaborate with Schenck to review the screen design and make upgrades to increase life,Medium,2022-07-14 08:00:00+00,540,1,\N,1,f,\N,\N
15858,2022-09-13 04:34:56.24+00,2022-10-06 02:00:34.199775+00,10577,\N,61,\N,Review QA/QC Procedure for Electrical Shut Works,Review QA/QC Procedure for Electrical Shut Works,Medium,2022-10-11 00:00:00+00,9093,3,2022-10-05 16:00:00+00,0,f,\N,\N
15880,2022-09-19 06:25:11.507+00,2022-09-25 06:48:58.070685+00,10584,\N,68,\N,Conduct 5-Why,Complete 5 why as to how dust got in the engine,High,2022-09-21 00:00:00+00,10969,3,2022-09-24 16:00:00+00,0,f,\N,\N
15888,2022-09-19 08:29:27.432418+00,2022-09-27 03:04:35.814469+00,10584,14,\N,\N,Review maintenance schedule for filter replacement,"High levels of dirt found, ensure the replacement frequency is suitable.",Medium,2022-10-02 16:00:00+00,10969,1,\N,0,f,\N,\N
15037,2021-09-07 18:28:42+00,2022-08-26 07:14:25.172+00,1378,\N,\N,\N,Complete third party audit of GTU system in accordance with AS 2759; Historical Sharepoint CB Id: 637,Complete third party audit of GTU system in accordance with AS 2759,Medium,2022-07-18 08:00:00+00,11150,3,\N,1,f,\N,\N
15486,2021-08-31 15:05:35+00,2022-08-26 07:13:30.163+00,1373,\N,\N,\N,Scope and plan installation of CV213 pan type rip detector; Historical Sharepoint CB Id: 631,Scope and plan installation of CV213 pan type rip detector,Medium,2022-07-14 08:00:00+00,540,1,\N,1,f,\N,\N
15870,2022-09-13 23:39:08.999+00,2022-09-28 05:07:49.001984+00,10581,\N,65,\N,"Update maintenance strategy for the Y-piece, valves, and surrounding pipe sections",Determine appropriate maintenance strategy for Y-piece / common valves / straight sections at the GEHOs,Medium,2022-10-11 16:00:00+00,685,1,\N,0,f,\N,\N
15905,2022-10-11 01:14:39.937336+00,2022-10-11 01:37:28.327224+00,10597,\N,74,\N,Review idler health history,Check idler health history to determine if replacement was recommended,Low,2022-10-17 16:00:00+00,2,1,\N,0,t,2,2022-10-11 01:37:28.32726+00
15902,2022-10-06 00:14:50.248228+00,2022-10-11 01:38:09.561258+00,10594,\N,73,\N,Test,Test,High,2022-11-02 16:00:00+00,2,1,\N,0,t,2,2022-10-11 01:38:09.561299+00
15483,2021-07-10 02:55:27+00,2022-08-26 07:09:50.756+00,1435,\N,\N,\N,RCA723 - Organise installation of air relief vents in desands; Historical Sharepoint CB Id: 594,Organise installation of air relief vents in desands,Medium,2022-10-30 08:00:00+00,540,1,\N,1,f,\N,\N
15460,2020-12-29 21:45:48+00,2022-08-26 07:06:28.421+00,1419,\N,\N,\N,Install CV009 magnet to reduce frequency of metal detects; Historical Sharepoint CB Id: 484,Install CV009 magnet to reduce frequency of metal detects,High,2022-07-29 08:00:00+00,11691,1,\N,1,f,\N,\N
15476,2021-05-10 00:16:59+00,2022-08-26 06:58:16.195+00,1433,\N,\N,\N,Update the daily inspection PRT to include the correct gland water pressures; Historical Sharepoint CB Id: 554,Update the daily inspection PRT to include the correct gland water pressures,High,2022-08-25 08:00:00+00,13124,1,\N,1,f,\N,\N
15504,2022-04-04 20:26:58+00,2022-08-26 06:57:10.134+00,1389,\N,\N,\N,Create PRT for 26W Rotate Splitter Chute CH501; Historical Sharepoint CB Id: 773,Create PRT for 26W Rotate Splitter Chute CH501,Low,2022-07-29 08:00:00+00,2206,1,\N,1,f,\N,\N
15485,2021-08-23 19:50:57+00,2022-08-26 06:56:19.758+00,1371,\N,\N,\N,Ensure operating parameters of the CR001 and CR002 HPUs are the same; Historical Sharepoint CB Id: 620,Ensure operating parameters of the CR001 and CR002 HPUs are the same,Medium,2022-07-30 08:00:00+00,14084,1,\N,1,f,\N,\N
15510,2022-04-25 17:21:29+00,2022-08-26 06:54:11.541+00,1395,\N,\N,\N,Refurbishment / replacement of weighbridge section of rail with new sensors and sleeper repairs.; Historical Sharepoint CB Id: 797,Refurbishment / replacement of weighbridge section of rail with new sensors and sleeper repairs,Low,2022-09-30 08:00:00+00,8084,1,\N,1,f,\N,\N
15519,2022-05-16 20:55:41+00,2022-08-26 06:46:42.496+00,1365,\N,\N,\N,Update BOM to include underspeed sensor sub-components as required.; Historical Sharepoint CB Id: 820,Update BOM to include underspeed sensor sub-components as required,Low,2022-07-29 08:00:00+00,10818,1,\N,1,f,\N,\N
15512,2022-05-03 22:12:35+00,2022-08-26 06:39:43.843+00,1366,\N,\N,\N,Ensure compressor is replaced during CP22TL03 shutdown; Historical Sharepoint CB Id: 804,Ensure compressor is replaced during CP22TL03 shutdown,High,2022-07-30 08:00:00+00,13124,1,\N,1,f,\N,\N
15916,2022-10-14 05:31:56.018588+00,2022-10-14 05:31:59.328776+00,10600,\N,78,\N,Strip Motor,Have motor stripped for assessment and documented following RCA inspection report.,Medium,2022-10-20 16:00:00+00,11063,1,\N,0,f,\N,\N
15889,2022-09-20 01:49:09.195+00,2022-10-18 01:45:25.688837+00,10585,\N,69,\N,Raise a change request for the proposed changes to the H&B frame design \n,Raise a change request for the proposed changes to the H&B frame design \n,Medium,2022-11-14 16:00:00+00,540,1,\N,0,f,\N,\N
15879,2022-09-17 04:55:55.523+00,2022-10-18 04:26:17.910053+00,10583,\N,67,\N,Investigate why Purchase order was cancelled,A transmitter was used in may and a purchase order was generated then cancelled to replace the stock. Find out why it wasn't escalated when PO was cancelled.,Medium,2022-11-15 00:00:00+00,9093,1,\N,0,f,\N,\N
15474,2021-05-09 16:42:04+00,2022-08-26 06:39:07.922+00,1360,\N,\N,\N,TL501 - Replace main hydraulic oil return line; Historical Sharepoint CB Id: 552,TL501 - Replace main hydraulic oil return line,Medium,2022-07-30 08:00:00+00,3163,3,\N,1,f,\N,\N
15517,2022-05-16 14:25:58+00,2022-08-26 06:33:30.99+00,1441,\N,\N,\N,Redesign CV010 brake mount to allow for greater alignment.; Historical Sharepoint CB Id: 818,Redesign CV010 brake mount to allow for greater alignment,Medium,2022-07-30 08:00:00+00,11150,1,\N,1,f,\N,\N
15518,2022-05-16 20:54:51+00,2022-08-26 06:33:01.812+00,1365,\N,\N,\N,Review spare stock holdings for underspeed sensor sub-components (bearings etc.); Historical Sharepoint CB Id: 819,Review spare stock holdings for underspeed sensor sub-components (bearings etc.),Medium,2022-07-29 08:00:00+00,10818,1,\N,1,f,\N,\N
15520,2022-05-16 20:59:42+00,2022-08-26 06:30:22.064+00,1365,\N,\N,\N,Raise PM02 for mechanical inspection of underspeed sensors.; Historical Sharepoint CB Id: 821,Prepare for the future - Assets and People ,Medium,2022-07-29 08:00:00+00,11150,1,\N,1,f,\N,\N
15521,2022-05-16 21:01:29+00,2022-08-26 02:17:17.41+00,1365,\N,\N,\N,Investigate alternative design for conveyor underspeed sensor shaft locking mechanism.; ,Historical Sharepoint CB Id: 822,Medium,2022-07-29 08:00:00+00,11150,1,\N,1,f,\N,\N
15881,2022-09-19 06:26:46.331667+00,2022-09-20 05:46:03.531909+00,10584,\N,68,\N,Follow up with OEM (GE),Get OEM response into the defect and failure modes observed,High,2022-09-25 16:00:00+00,10969,1,\N,0,f,\N,\N
15484,2021-08-23 19:49:25+00,2022-08-26 02:10:31.119+00,1371,\N,\N,\N,Schedule replacement of old HPUs on CR001 & CR002,Historical Sharepoint CB Id: 619,High,2022-08-18 08:00:00+00,4680,1,\N,1,f,\N,\N
15456,2020-11-08 14:39:59+00,2022-08-26 01:35:01.056+00,1335,\N,\N,\N,Check stocked inner hubs vs. drawings to confirm they're correct; Historical Sharepoint CB Id: 405,Check stocked inner hubs vs. drawings to confirm they're correct,Medium,2022-06-30 08:00:00+00,13124,1,\N,1,f,\N,\N
15710,2022-07-11 18:07:19+00,2022-08-26 00:14:26+00,10544,\N,\N,\N,Update PIMS/SAP with new drawing.; Historical Sharepoint Solomon Id 2552,\N,Medium,2022-08-30 08:00:00+00,5424,3,2022-08-01 00:00:00+00,1,f,\N,\N
15711,2022-07-25 19:51:54+00,2022-08-24 21:25:52+00,10549,\N,\N,\N,Follow up with Rotables team on the repair of VSD; Historical Sharepoint Solomon Id 2553,\N,High,2022-08-22 08:00:00+00,8700,3,2022-08-01 00:00:00+00,1,f,\N,\N
15871,2022-09-13 23:45:32.278+00,2022-09-28 05:07:49.009729+00,10581,\N,65,\N,"Conduct a design review of the Y-piece, process and geometry",Holistic approach to possible failure mechanism,Medium,2022-09-20 16:00:00+00,685,1,\N,0,f,\N,\N
15686,2022-06-13 17:25:36+00,2022-08-23 18:19:00+00,1039,\N,\N,\N,12 Monthly time based replacement strategy for all deck rails at bottom deck discharge end (SN201/SN202/SN203).; Historical Sharepoint Solomon Id 2528,\N,Medium,2022-10-29 08:00:00+00,206,1,\N,1,f,\N,\N
15732,2022-08-19 02:46:34+00,2022-08-19 02:46:34+00,531,\N,\N,\N,Investigate recent SK801 pilot core premature electrical failures; Historical Sharepoint Solomon Id 2574,\N,High,2022-09-29 08:00:00+00,217,1,\N,1,f,\N,\N
15731,2022-08-17 19:27:21+00,2022-08-17 19:27:21+00,1015,\N,\N,\N,Inspect KV Terra Nova conveyor trolley wheels; Historical Sharepoint Solomon Id 2573,\N,Medium,2023-03-30 08:00:00+00,5424,1,\N,1,f,\N,\N
15730,2022-08-17 19:11:29+00,2022-08-17 19:11:29+00,1015,\N,\N,\N,Inspect Firetail Terra Nova conveyor trolley wheels; Historical Sharepoint Solomon Id 2572,\N,Medium,2023-03-30 08:00:00+00,5424,1,\N,1,f,\N,\N
15729,2022-08-17 18:34:15+00,2022-08-17 18:34:15+00,10554,\N,\N,\N,Review the seal design from a labyrinth to a more robust contact sealing arrangement; Historical Sharepoint Solomon Id 2571,\N,Medium,2022-12-30 08:00:00+00,5424,1,\N,1,f,\N,\N
15728,2022-08-17 18:32:22+00,2022-08-17 18:32:22+00,10554,\N,\N,\N,Investigate motor location to determine if the is potential for environmental contamination (rain) and cover as necessary; Historical Sharepoint Solomon Id 2570,\N,Medium,2022-11-29 08:00:00+00,5424,1,\N,1,f,\N,\N
15654,2022-08-15 17:53:38+00,2022-08-15 17:53:38+00,10535,\N,\N,\N,Cap bogie adjustments to 380mm ; Historical Sharepoint Eliwana Id 215,\N,Medium,2022-08-29 08:00:00+00,6576,1,\N,1,f,\N,\N
15653,2022-08-15 17:53:05+00,2022-08-15 17:53:05+00,10535,\N,\N,\N,Develop logic to monitor tonnes in from CV901 vs weighed tonnes of Weighbridge ; Historical Sharepoint Eliwana Id 214,\N,Medium,2022-08-29 08:00:00+00,6576,1,\N,1,f,\N,\N
15869,2022-09-13 06:58:36.183+00,2022-10-11 01:38:05.143265+00,10580,12,\N,\N,Test,Test,Medium,2022-10-10 16:00:00+00,2,3,2022-10-05 16:00:00+00,0,t,2,2022-10-11 01:38:05.143298+00
15903,2022-10-06 00:15:54.424357+00,2022-10-11 01:38:08.068782+00,10594,15,\N,\N,Test,Test,High,2022-11-02 16:00:00+00,2,1,\N,0,t,2,2022-10-11 01:38:08.068811+00
