id,created,updated,title,tab_title,tab_number,tab_type,tableau_url,location_id,aplus_date_range,aplus_site,aplus_area,rems_site,rems_fleet_type,rems_date_range,threshold_5_why
232,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Loaders FLOC DT Pareto,CB Loaders FLOC DT Pareto,2,2,,48,,,,Cloudbreak,Wheel Loader,30 Days,
140,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB OPF 30 Day DT,CB OPF 30 Day DT,3,3,,34,30 Days,Cloudbreak,CB OPF,,,,
145,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB OPF Idlers,CB OPF Idlers,8,1,https://analytics.fmgl.com.au/t/sandbox/views/CBOPFIdlers/CBOPFIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,34,,,,,,,
138,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB OPF Summary ,CB OPF Summary ,1,1,https://analytics.fmgl.com.au/t/sandbox/views/CBOPFSummary/CBOPFSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,,
139,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB OPF Weekly TUM,CB OPF Weekly TUM,2,1,https://analytics.fmgl.com.au/t/sandbox/views/CBOPFWeeklyTUM/CBOPFWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,,
143,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB TLO 30 Day DT,CB TLO 30 Day DT,6,3,,34,30 Days,Cloudbreak,CB Stockyard,,,,
188,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading 30 Day DT,AP Inloading 30 Day DT,3,3,,38,30 Days,Anderson Point,AP Inloading,,,,
191,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading Actions Report,AP Inloading Actions Report,6,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionsDashboard/016163c1-870e-453e-9004-44a623c4f1f0/95429a73-8c4c-4f4d-b6c8-d046e7e542e6?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,38,,,,,,,
190,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading Idlers,AP Inloading Idlers,5,1,https://analytics.fmgl.com.au/t/sandbox/views/APILIdlers/APILIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,38,,,,,,,
192,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading Investigations Report,AP Inloading Investigations Report,7,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationsDashboard/5c61a7b8-daf1-4b8e-8b6c-fc4ac24dfda8/APInloadReport?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,38,,,,,,,
186,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading Summary,AP Inloading Summary,1,1,https://analytics.fmgl.com.au/t/sandbox/views/APInloadingSummary/APInloadingSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,38,,,,,,,
189,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading Watchlist,AP Inloading Watchlist,4,1,https://analytics.fmgl.com.au/t/sandbox/views/APILWatchlist/APInloadingWatchlist?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,38,,,,,,,
187,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Inloading Weekly TUM,AP Inloading Weekly TUM,2,1,https://analytics.fmgl.com.au/t/sandbox/views/APInloadingWeeklyTUM/APInloadingWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,38,,,,,,,
195,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading 30 Day DT,AP Outloading 30 Day DT,3,3,,39,30 Days,Anderson Point,AP Outloading,,,,3
198,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading Actions,AP Outloading Actions,6,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionsDashboard/42bb95a3-1fc2-44c4-b087-845b73c3e164/94ef557d-7bfc-4bb6-89fe-a737bd355755?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,39,,,,,,,
197,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading Idlers,AP Outloading Idlers,5,1,https://analytics.fmgl.com.au/t/sandbox/views/APOLIdlers/APOLIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,39,,,,,,,
199,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading Investigations,AP Outloading Investigations,7,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationsDashboard/6af90967-c55a-4457-a6ca-d0aaaaef2937/APOutloadReport?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,39,,,,,,,
193,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading Summary,AP Outloading Summary,1,1,https://analytics.fmgl.com.au/t/sandbox/views/APOutloadingSummary/APOutloadingSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,39,,,,,,,
196,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,AP Outloading Watchlist,AP Outloading Watchlist,4,1,https://analytics.fmgl.com.au/t/sandbox/views/APOLWatchlist/APOutloadingWatchlist?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,39,,,,,,,
146,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB TLO Idlers,CB TLO Idlers,9,1,https://analytics.fmgl.com.au/t/sandbox/views/CBTLOIdlers/CBTLOIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,34,,,,,,,
141,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB TLO Summary,CB TLO Summary,4,1,https://analytics.fmgl.com.au/t/sandbox/views/CBTLOSummary/CBTLOSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,,
142,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB TLO Weekly TUM,CB TLO Weekly TUM,5,1,https://analytics.fmgl.com.au/t/sandbox/views/CBTLOWeeklyTUM/CBTLOWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,,
144,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CB Watchlist,CB Watchlist,7,1,https://analytics.fmgl.com.au/t/sandbox/views/CBOPFWatchlist/CBOPFWatchlist?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,34,,,,,,,
203,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC Diggers FLOC DT Pareto,CC Diggers FLOC DT Pareto,1,2,,41,,,,Christmas Creek,Excavator,30 Days,
209,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC Dozers FLOC DT Pareto,CC Dozers FLOC DT Pareto,3,2,,42,,,,Christmas Creek,Dozer,30 Days,
204,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC Drills FLOC DT Pareto,CC Drills FLOC DT Pareto,2,2,,41,,,,Christmas Creek,Drills,30 Days,
238,2022-09-19 11:55:00.000 +0800,2022-09-19 11:55:00.000 +0800,CC FP Actions Report,CC FP Actions Report,15,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionsDashboard/1fcc889e-704d-4cb3-9db1-d09791abb1b6/cc348af3-947d-405f-a3e1-84c7a147c758?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,,
237,2022-09-19 11:55:00.000 +0800,2022-09-19 11:55:00.000 +0800,CC FP Idlers,CC FP Idlers,14,1,https://analytics.fmgl.com.au/t/sandbox/views/CCFPIdlers/CCFPIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,35,,,,,,,
239,2022-09-19 11:55:00.000 +0800,2022-09-19 11:55:00.000 +0800,CC FP Investigations Report,CC FP Investigations Report,16,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationsDashboard/4c842499-cb80-4e23-8077-5b789bdfe3ba/CCFPReport?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,,
236,2022-09-19 11:55:00.000 +0800,2022-09-19 11:55:00.000 +0800,CC FP Watchlist,CC FP Watchlist,13,1,https://analytics.fmgl.com.au/t/sandbox/views/CCFPWatchlist/CCFPWatchlist?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,35,,,,,,,
207,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC Graders FLOC DT Pareto,CC Graders FLOC DT Pareto,1,2,,42,,,,Christmas Creek,Grader,30 Days,
200,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC Haul Truck FLOC DT Pareto,CC Haul Truck FLOC DT Pareto,1,2,,40,,,,Christmas Creek,Haul Truck,30 Days,
210,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC HME Ancilliary Actions Report,CC HME Ancilliary Actions Report,4,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionsDashboard/cb718ee8-1691-438e-80e6-7f2d0e3fab55/868ae9d5-0e9a-48c9-9de0-2c1ca58fcaef?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,42,,,,,,,
211,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC HME Ancilliary Investigations Report,CC HME Ancilliary Investigations Report,5,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationsDashboard/881e59a9-04c0-4049-b44a-293810dd83fe/CCAncilliaryReport?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,42,,,,,,,
205,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC HME Diggers and Drills Actions Report,CC HME Diggers and Drills Actions Report,3,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionsDashboard/b89bd0ae-9bf2-466a-9ada-6f02c104433c/3f7c6e55-eed0-460b-a91f-93cc0a2ab330?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,41,,,,,,,
206,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC HME Diggers and Drills Investigations Report,CC HME Diggers and Drills Investigations Report,4,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationsDashboard/c0a67381-4f3b-48c6-beca-ebad3037306a/CCDiggersandDrillsReport?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,41,,,,,,,
201,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC HME Trucks Actions Report,CC HME Trucks Actions Report,2,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionsDashboard/ba24581f-245b-4d36-8d5c-174be7e8785b/13ffe869-6a15-4b35-8d13-3901c03e27e5?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,40,,,,,,,
202,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC HME Trucks Investigations Report,CC HME Trucks Investigations Report,3,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationsDashboard/651c220c-9e80-46d6-9a3b-71b8218c9ec8/CCTrucksReport?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,40,,,,,,,
208,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC Loaders FLOC DT Pareto,CC Loaders FLOC DT Pareto,2,2,,42,,,,Christmas Creek,Wheel Loader,30 Days,
151,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC OPF1 30 Day DT,CC OPF1 30 Day DT,3,3,,35,30 Days,Christmas Creek,CC OPF1,,,,
149,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC OPF1 Summary,CC OPF1 Summary,1,1,https://analytics.fmgl.com.au/t/sandbox/views/CCOPF1Summary/CCOPF1Summary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,,
150,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC OPF1 Weekly TUM,CC OPF1 Weekly TUM,2,1,https://analytics.fmgl.com.au/t/sandbox/views/CCOPF1WeeklyTUM/CBTLOWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,,
163,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC OPF2 30 Day DT,CC OPF2 30 Day DT,6,3,,35,30 Days,Christmas Creek,CC OPF2,,,,
161,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC OPF2 Summary,CC OPF2 Summary,4,1,https://analytics.fmgl.com.au/t/sandbox/views/CCOPF2Summary/CCOPF2Summary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,,
162,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC OPF2 Weekly TUM,CC OPF2 Weekly TUM,5,1,https://analytics.fmgl.com.au/t/sandbox/views/CCOPF2WeeklyTUM/CCOPF2WeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,,
154,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC TLO 30 Day DT,CC TLO 30 Day DT,12,3,,35,30 Days,Christmas Creek,CC Stockyard,,,,
152,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC TLO Summary,CC TLO Summary,10,1,https://analytics.fmgl.com.au/t/sandbox/views/CCTLOSummary/CCTLOSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,,
153,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC TLO Weekly TUM,CC TLO Weekly TUM,11,1,https://analytics.fmgl.com.au/t/sandbox/views/CCTLOWeeklyTUM/CCTLOWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,,
245,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC WHIMS Summary,CC WHIMS Summary,7,1,https://analytics.fmgl.com.au/t/sandbox/views/CCWHIMSSummary/CCWHIMSSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,,
246,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC WHIMS TUM,CC WHIMS TUM,8,1,https://analytics.fmgl.com.au/t/sandbox/views/CCWHIMSWeeklyTUM/CCWHIMSWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,,
247,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC WHIMS 30 Day DT,CC WHIMS 30 Day DT,9,3,,35,30 Days,Christmas Creek,CC OPF2,,,,
110,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,Dewatering Monthly DE Report,Dewatering Monthly DE Report,1,1,https://analytics.fmgl.com.au/t/published/views/DewateringMonthlyDE/DewateringMonthlyDE?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,23,,,,,,,
184,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW FP Actions Report,EW FP Actions Report,13,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionsDashboard/3e1f77a3-06cb-4a42-93db-e22274b46581/9ee45fde-41e7-464d-ad67-712b95bbcb43?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,37,,,,,,,
185,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW FP Investigations Report,EW FP Investigations Report,14,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationsDashboard/7c87c7a3-c71b-4183-86dc-ae0ee4eba162/EWFPReport?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,37,,,,,,,
175,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW OPF1 30 Day DT,EW OPF1 30 Day DT,6,3,,37,30 Days,Eliwana,EW OPF1,,,,
179,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW OPF1 Forcelist,EW OPF1 Forcelist,12,1,https://analytics.fmgl.com.au/t/sandbox/views/EWForcelist/EliForcelist?:embed=y&:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,37,,,,,,,
182,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW OPF1 Idlers,EW OPF1 Idlers,8,1,https://analytics.fmgl.com.au/t/sandbox/views/EWOPFIdlers/EWOPFIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,37,,,,,,,
173,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW OPF1 Summary,EW OPF1 Summary,1,1,https://analytics.fmgl.com.au/t/sandbox/views/EWOPF1Summary/EWOPF1Summary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,37,,,,,,,
180,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW OPF1 Watchlist,EW OPF1 Watchlist,10,1,https://analytics.fmgl.com.au/t/sandbox/views/EWOPF1Watchlist/EWOPF1Watchlist?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,37,,,,,,,
174,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW OPF1 Weekly TUM,EW OPF1 Weekly TUM,4,1,https://analytics.fmgl.com.au/t/sandbox/views/EWOPF1WeeklyTUM/EWOPF1WeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,37,,,,,,,
178,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW Stockyard & TLO 30 Day DT,EW Stockyard & TLO 30 Day DT,7,3,,37,30 Days,Eliwana,EW Stockyard,,,,
183,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW Stockyard & TLO Idlers,EW Stockyard & TLO Idlers,9,1,https://analytics.fmgl.com.au/t/sandbox/views/EWSYIdlers/EWSYIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,37,,,,,,,
181,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW Stockyard & TLO Watchlist,EW Stockyard & TLO Watchlist,11,1,https://analytics.fmgl.com.au/t/sandbox/views/EWSYWatchlist/EWSYWatchlist?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,37,,,,,,,
177,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW Stockyard & TLO Weekly TUM,EW Stockyard & TLO Weekly TUM,5,1,https://analytics.fmgl.com.au/t/sandbox/views/EWTLOWeeklyTUM/EWTLOWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,37,,,,,,,
240,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW Stockyard Summary,EW Stockyard Summary,2,1,https://analytics.fmgl.com.au/t/sandbox/views/EWTLOSummary/EWTLOSummary_1?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,37,,,,,,,
176,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW TLO Summary,EW TLO Summary,3,1,https://analytics.fmgl.com.au/t/sandbox/views/EliwanaTrainLoadSummary/TrainLoadOutSummary_1?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,37,,,,,,,
113,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,FT CH 30 Day DT,FT CH 30 Day DT,3,3,,32,30 Days,Solomon,FT Infeed and PC,,,,
111,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,FT CH Summary ,FT CH Summary ,1,1,https://analytics.fmgl.com.au/t/sandbox/views/FTCHSummary/FTCHSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,32,,,,,,,
112,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,FT CH Weekly TUM,FT CH Weekly TUM,2,1,https://analytics.fmgl.com.au/t/sandbox/views/FTCHWeeklyTUM/FTCHWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,32,,,,,,,
120,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,FT Forcelist,FT Forcelist,10,1,https://analytics.fmgl.com.au/t/sandbox/views/FTWeeklyReliabilityDashboard-updated_16554431374370/Forcelist?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,32,,,,,,,
123,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,FT Idlers,FT Idlers,13,1,https://analytics.fmgl.com.au/t/sandbox/views/FTWeeklyReliabilityDashboard-updated_16554431374370/FiretailIdlers/79698623-fedf-457a-a6bf-17a6a0f30938/b63a4362-ef44-4352-99c0-70429d711fa4?:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,32,,,,,,,
